prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket
T2B-W001,task2b_word_in_sentence.csv,assessment,,word_sentence,,I see a cat.,cat,cat,easy,1.0,True,,K AE T,K,AE,T,CVC,CVC_short_a,vowel_sound,"{""accepted_answers"": ""cat"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""cat"", ""id"": ""T2B-W001"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""I see a cat."", ""sequence"": 1, ""target_word"": ""cat""}",single_word,3,1,True,,word_reading,medial,AE,a,at_family,at,c,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AE,ok,,
T2B-W002,task2b_word_in_sentence.csv,assessment,,word_sentence,,The dog can run.,dog,dog,easy,1.0,True,,D AO G,D,AO,G,CVC,CVC_vowel,vowel_sound,"{""accepted_answers"": ""dog"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""dog"", ""id"": ""T2B-W002"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""The dog can run."", ""sequence"": 2, ""target_word"": ""dog""}",single_word,3,1,True,,word_reading,medial,AO,o,og_family,og,d,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AO,ok,,
T2B-W003,task2b_word_in_sentence.csv,assessment,,word_sentence,,We sit in the sun.,sun,sun,easy,1.0,True,,S AH N,S,AH,N,CVC,CVC_short_u,vowel_sound,"{""accepted_answers"": ""sun"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""sun"", ""id"": ""T2B-W003"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""We sit in the sun."", ""sequence"": 3, ""target_word"": ""sun""}",single_word,3,1,True,,word_reading,medial,AH,u,un_family,un,s,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AH,ok,,
T2B-W004,task2b_word_in_sentence.csv,assessment,,word_sentence,,My hat is blue.,hat,hat,easy,1.0,True,,HH AE T,HH,AE,T,CVC,CVC_short_a,vowel_sound,"{""accepted_answers"": ""hat"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""hat"", ""id"": ""T2B-W004"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""My hat is blue."", ""sequence"": 4, ""target_word"": ""hat""}",single_word,3,1,True,,word_reading,medial,AE,a,at_family,at,h,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AE,ok,,
T2B-W005,task2b_word_in_sentence.csv,assessment,,word_sentence,,I have a pen.,pen,pen,easy,1.0,True,,P EH N,P,EH,N,CVC,CVC_short_e,vowel_sound,"{""accepted_answers"": ""pen"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""pen"", ""id"": ""T2B-W005"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""I have a pen."", ""sequence"": 5, ""target_word"": ""pen""}",single_word,3,1,True,,word_reading,medial,EH,e,en_family,en,p,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:EH,ok,,
T2B-W006,task2b_word_in_sentence.csv,assessment,,word_sentence,,A bug is on the leaf.,bug,bug,easy,1.0,True,,B AH G,B,AH,G,CVC,CVC_short_u,vowel_sound,"{""accepted_answers"": ""bug"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""bug"", ""id"": ""T2B-W006"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""A bug is on the leaf."", ""sequence"": 6, ""target_word"": ""bug""}",single_word,3,1,True,,word_reading,medial,AH,u,ug_family,ug,b,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AH,ok,,
T2B-W007,task2b_word_in_sentence.csv,assessment,,word_sentence,,The cup is full.,cup,cup,easy,1.0,True,,K AH P,K,AH,P,CVC,CVC_short_u,vowel_sound,"{""accepted_answers"": ""cup"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""cup"", ""id"": ""T2B-W007"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""The cup is full."", ""sequence"": 7, ""target_word"": ""cup""}",single_word,3,1,True,,word_reading,medial,AH,u,up_family,up,c,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AH,ok,,
T2B-W008,task2b_word_in_sentence.csv,assessment,,word_sentence,,The red ball rolls.,red,red,easy,1.0,True,,R EH D,R,EH,D,CVC,CVC_short_e,vowel_sound,"{""accepted_answers"": ""red"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""red"", ""id"": ""T2B-W008"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""The red ball rolls."", ""sequence"": 8, ""target_word"": ""red""}",single_word,3,1,True,,word_reading,medial,EH,e,ed_family,ed,r,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:EH,ok,,
T2B-W009,task2b_word_in_sentence.csv,assessment,,word_sentence,,Put the toy in the box.,box,box,easy,1.0,True,,B AA K S,B,AA,S,CVCC,ox_family,final_consonant,"{""accepted_answers"": ""box"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""box"", ""id"": ""T2B-W009"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""Put the toy in the box."", ""sequence"": 9, ""target_word"": ""box""}",single_word,4,1,True,,word_reading,final,S,x,ox_family,ox,b,,False,0.25,easy,"{'word_length': 0.3, 'phoneme_count': 0.5, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_easy,final_sound_error,high,assessment,False,True,3,final_consonant:S,ok,,
T2B-W010,task2b_word_in_sentence.csv,assessment,,word_sentence,,The fish can swim.,fish,fish,easy,1.0,True,,F IH SH,F,IH,SH,CVC,CVC_short_i,vowel_sound,"{""accepted_answers"": ""fish"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""fish"", ""id"": ""T2B-W010"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""The fish can swim."", ""sequence"": 10, ""target_word"": ""fish""}",single_word,3,1,True,,word_reading,medial,IH,i,sh_family,ish,f,,False,0.246,easy,"{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_easy,vowel_error,high,assessment,False,True,3,vowel_sound:IH,ok,,
T2B-W011,task2b_word_in_sentence.csv,assessment,,word_sentence,,I kick the ball.,ball,ball,easy,1.0,True,,B AO L,B,AO,L,CVC,CVC_vowel,vowel_sound,"{""accepted_answers"": ""ball"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""ball"", ""id"": ""T2B-W011"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""I kick the ball."", ""sequence"": 11, ""target_word"": ""ball""}",single_word,3,1,True,,word_reading,medial,AO,a,ll_family,all,b,,False,0.212,easy,"{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AO,ok,,
T2B-W012,task2b_word_in_sentence.csv,assessment,,word_sentence,,The bed is soft.,bed,bed,easy,1.0,True,,B EH D,B,EH,D,CVC,CVC_short_e,vowel_sound,"{""accepted_answers"": ""bed"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""bed"", ""id"": ""T2B-W012"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""The bed is soft."", ""sequence"": 12, ""target_word"": ""bed""}",single_word,3,1,True,,word_reading,medial,EH,e,ed_family,ed,b,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:EH,ok,,
T2B-W013,task2b_word_in_sentence.csv,assessment,,word_sentence,,The moon is bright.,moon,moon,easy,1.0,True,,M UW N,M,UW,N,CVC,CVC_vowel,vowel_sound,"{""accepted_answers"": ""moon"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""moon"", ""id"": ""T2B-W013"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""The moon is bright."", ""sequence"": 13, ""target_word"": ""moon""}",single_word,3,1,True,,word_reading,medial,UW,o,on_family,oon,m,,False,0.212,easy,"{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_easy,vowel_error,high,assessment,False,True,3,vowel_sound:UW,ok,,
T2B-W014,task2b_word_in_sentence.csv,assessment,,word_sentence,,A bird sits in the tree.,tree,tree,easy,1.0,True,,T R IY,T,IY,IY,CCV,ee_family,initial_consonant,"{""accepted_answers"": ""tree"", ""content_type"": ""word_sentence"", ""difficulty"": ""easy"", ""expected_answer"": ""tree"", ""id"": ""T2B-W014"", ""is_active"": 1, ""points"": 1, ""sentence_text"": ""A bird sits in the tree."", ""sequence"": 14, ""target_word"": ""tree""}",single_word,3,1,True,,word_reading,initial,T,t,ee_family,ee,tr,,False,0.246,easy,"{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:T,ok,,
