prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket
T2A-R001,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,cat,at,bat|hat|mat|sat|rat,easy,1.0,True,,AE T,AE,AE,T,VC,at_family,final_consonant,"{""accepted_answers"": ""bat|hat|mat|sat|rat"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""at"", ""id"": ""T2A-R001"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""cat"", ""sequence"": 1}",single_word,2,1,True,,phonemic_awareness,final,T,t,at_family,at,,,False,0.158,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:T,ok,,
T2A-R002,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,dog,og,log|fog|hog|jog,easy,1.0,True,,AA G,AA,AA,G,VC,og_family,final_consonant,"{""accepted_answers"": ""log|fog|hog|jog"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""og"", ""id"": ""T2A-R002"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""dog"", ""sequence"": 2}",single_word,2,1,True,,phonemic_awareness,final,G,g,og_family,og,,,False,0.158,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:G,ok,,
T2A-R003,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,sun,un,fun|run|bun,easy,1.0,True,,Y UW EH N,Y,UW EH,N,CVVC,un_family,final_consonant,"{""accepted_answers"": ""fun|run|bun"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""un"", ""id"": ""T2A-R003"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""sun"", ""sequence"": 3}",single_word,4,1,True,,phonemic_awareness,final,N,n,un_family,un,,,False,0.2,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.5, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:N,ok,,
T2A-R004,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,hat,at,cat|bat|mat|sat|rat,easy,1.0,True,,AE T,AE,AE,T,VC,at_family,final_consonant,"{""accepted_answers"": ""cat|bat|mat|sat|rat"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""at"", ""id"": ""T2A-R004"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""hat"", ""sequence"": 4}",single_word,2,1,True,,phonemic_awareness,final,T,t,at_family,at,,,False,0.158,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:T,ok,,
T2A-R005,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,pen,en,ten|hen|men|den,easy,1.0,True,,EH N,EH,EH,N,VC,en_family,final_consonant,"{""accepted_answers"": ""ten|hen|men|den"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""en"", ""id"": ""T2A-R005"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""pen"", ""sequence"": 5}",single_word,2,1,True,,phonemic_awareness,final,N,n,en_family,en,,,False,0.158,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:N,ok,,
T2A-R006,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,bug,ug,rug|mug|hug|dug,easy,1.0,True,,,,,,,ug_family,unknown,"{""accepted_answers"": ""rug|mug|hug|dug"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""ug"", ""id"": ""T2A-R006"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""bug"", ""sequence"": 6}",single_word,0,1,False,ug,phonemic_awareness,,,,ug_family,ug,,missing_cmudict_words,True,0.15,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.0, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.2, 'source_difficulty': 0.25}",unknown_very_easy,incorrect_general,low,assessment,False,False,1,unknown:ug_family,needs_review,,
T2A-R007,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,cup,up,pup|up,easy,1.0,True,,AH P,AH,AH,P,VC,up_family,final_consonant,"{""accepted_answers"": ""pup|up"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""up"", ""id"": ""T2A-R007"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""cup"", ""sequence"": 7}",single_word,2,1,True,,phonemic_awareness,final,P,p,up_family,up,,,False,0.158,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:P,ok,,
T2A-R008,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,red,ed,bed|fed|led|wed,easy,1.0,True,,EH D,EH,EH,D,VC,ed_family,final_consonant,"{""accepted_answers"": ""bed|fed|led|wed"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""ed"", ""id"": ""T2A-R008"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""red"", ""sequence"": 8}",single_word,2,1,True,,phonemic_awareness,final,D,d,ed_family,ed,,,False,0.158,very_easy,"{'word_length': 0.2, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_very_easy,final_sound_error,high,assessment,False,True,3,final_consonant:D,ok,,
T2A-R009,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,box,ox,fox|locks|rocks|socks,easy,1.0,True,,AA K S,AA,AA,S,VCC,ox_family,final_consonant,"{""accepted_answers"": ""fox|locks|rocks|socks"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""ox"", ""id"": ""T2A-R009"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""box"", ""sequence"": 9}",single_word,3,1,True,,phonemic_awareness,final,S,x,ox_family,ox,,,False,0.212,easy,"{'word_length': 0.2, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_easy,final_sound_error,high,assessment,False,True,3,final_consonant:S,ok,,
T2A-R010,task2a_rhyming_words.csv,assessment,,rhyme_prompt,,fish,ish,dish|wish|swish,easy,1.0,True,,IH SH,IH,IH,SH,VC,sh_family,final_consonant,"{""accepted_answers"": ""dish|wish|swish"", ""content_type"": ""rhyme_prompt"", ""difficulty"": ""easy"", ""expected_rhyme_family"": ""ish"", ""id"": ""T2A-R010"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""fish"", ""sequence"": 10}",single_word,2,1,True,,phonemic_awareness,final,SH,h,sh_family,ish,,,False,0.208,easy,"{'word_length': 0.3, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",final_consonant_easy,final_sound_error,high,assessment,False,True,3,final_consonant:SH,ok,,
