prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket
T1-L001,task1_letter_pronunciation.csv,assessment,,letter,,A,A,A|a|ah,easy,1.0,True,,AE,AE,AE,AE,V,letter_sound,vowel_sound,"{""accepted_answers"": ""A|a|ah"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""A"", ""expected_phoneme"": ""/a/"", ""id"": ""T1-L001"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""A"", ""sequence"": 1}",single_letter,1,1,True,,letter_sound,initial,AE,A,,,A,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:AE,ok,,
T1-L002,task1_letter_pronunciation.csv,assessment,,letter,,B,B,B|b|bee,easy,1.0,True,,B,B,,B,C,letter_sound,initial_consonant,"{""accepted_answers"": ""B|b|bee"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""B"", ""expected_phoneme"": ""/b/"", ""id"": ""T1-L002"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""B"", ""sequence"": 2}",single_letter,1,1,True,,letter_sound,initial,B,B,,,B,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:B,ok,,
T1-L003,task1_letter_pronunciation.csv,assessment,,letter,,C,C,C|c|see,easy,1.0,True,,K,K,,K,C,letter_sound,initial_consonant,"{""accepted_answers"": ""C|c|see"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""C"", ""expected_phoneme"": ""/k/"", ""id"": ""T1-L003"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""C"", ""sequence"": 3}",single_letter,1,1,True,,letter_sound,initial,K,C,,,C,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:K,ok,,
T1-L004,task1_letter_pronunciation.csv,assessment,,letter,,D,D,D|d|dee,easy,1.0,True,,D,D,,D,C,letter_sound,initial_consonant,"{""accepted_answers"": ""D|d|dee"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""D"", ""expected_phoneme"": ""/d/"", ""id"": ""T1-L004"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""D"", ""sequence"": 4}",single_letter,1,1,True,,letter_sound,initial,D,D,,,D,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:D,ok,,
T1-L005,task1_letter_pronunciation.csv,assessment,,letter,,E,E,E|e|ee,easy,1.0,True,,EH,EH,EH,EH,V,letter_sound,vowel_sound,"{""accepted_answers"": ""E|e|ee"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""E"", ""expected_phoneme"": ""/e/"", ""id"": ""T1-L005"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""E"", ""sequence"": 5}",single_letter,1,1,True,,letter_sound,initial,EH,E,,,E,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:EH,ok,,
T1-L006,task1_letter_pronunciation.csv,assessment,,letter,,F,F,F|f|ef,easy,1.0,True,,F,F,,F,C,letter_sound,initial_consonant,"{""accepted_answers"": ""F|f|ef"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""F"", ""expected_phoneme"": ""/f/"", ""id"": ""T1-L006"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""F"", ""sequence"": 6}",single_letter,1,1,True,,letter_sound,initial,F,F,,,F,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:F,ok,,
T1-L007,task1_letter_pronunciation.csv,assessment,,letter,,G,G,G|g|gee,easy,1.0,True,,G,G,,G,C,letter_sound,initial_consonant,"{""accepted_answers"": ""G|g|gee"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""G"", ""expected_phoneme"": ""/g/"", ""id"": ""T1-L007"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""G"", ""sequence"": 7}",single_letter,1,1,True,,letter_sound,initial,G,G,,,G,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:G,ok,,
T1-L008,task1_letter_pronunciation.csv,assessment,,letter,,H,H,H|h|aitch|haych,easy,1.0,True,,HH,HH,,HH,C,letter_sound,initial_consonant,"{""accepted_answers"": ""H|h|aitch|haych"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""H"", ""expected_phoneme"": ""/h/"", ""id"": ""T1-L008"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""H"", ""sequence"": 8}",single_letter,1,1,True,,letter_sound,initial,HH,H,,,H,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:HH,ok,,
T1-L009,task1_letter_pronunciation.csv,assessment,,letter,,I,I,I|i|eye,easy,1.0,True,,IH,IH,IH,IH,V,letter_sound,vowel_sound,"{""accepted_answers"": ""I|i|eye"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""I"", ""expected_phoneme"": ""/i/"", ""id"": ""T1-L009"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""I"", ""sequence"": 9}",single_letter,1,1,True,,letter_sound,initial,IH,I,,,I,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,high,assessment,False,True,3,vowel_sound:IH,ok,,
T1-L010,task1_letter_pronunciation.csv,assessment,,letter,,J,J,J|j|jay,easy,1.0,True,,JH,JH,,JH,C,letter_sound,initial_consonant,"{""accepted_answers"": ""J|j|jay"", ""content_type"": ""letter"", ""difficulty"": ""easy"", ""expected_answer"": ""J"", ""expected_phoneme"": ""/j/"", ""id"": ""T1-L010"", ""is_active"": 1, ""points"": 1, ""prompt_text"": ""J"", ""sequence"": 10}",single_letter,1,1,True,,letter_sound,initial,JH,J,,,J,,False,0.121,very_easy,"{'word_length': 0.1, 'phoneme_count': 0.125, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,high,assessment,False,True,3,initial_consonant:JH,ok,,
