id,sequence,item_type,assessment_part,word_1,word_2,is_rhyme,correct_answer,audio_script,difficulty,points,is_active
T2A-D001,1,rhyme_decision,task_2a,cat,hat,true,yes,"cat, hat",easy,1,true
T2A-D002,2,rhyme_decision,task_2a,dog,log,true,yes,"dog, log",easy,1,true
T2A-D003,3,rhyme_decision,task_2a,sun,run,true,yes,"sun, run",easy,1,true
T2A-D004,4,rhyme_decision,task_2a,pen,hen,true,yes,"pen, hen",easy,1,true
T2A-D005,5,rhyme_decision,task_2a,bug,rug,true,yes,"bug, rug",easy,1,true
T2A-D006,6,rhyme_decision,task_2a,bee,tree,true,yes,"bee, tree",easy,1,true
T2A-D007,7,rhyme_decision,task_2a,sun,book,false,no,"sun, book",easy,1,true
T2A-D008,8,rhyme_decision,task_2a,cat,dog,false,no,"cat, dog",easy,1,true
T2A-D009,9,rhyme_decision,task_2a,pen,cup,false,no,"pen, cup",easy,1,true
T2A-D010,10,rhyme_decision,task_2a,fish,tree,false,no,"fish, tree",easy,1,true
