"prompt_id","source_file","source_group","module_key","task_type","activity_type","prompt_text","expected_text","accepted_answers","difficulty","points","is_active","is_mastery_item","expected_phonemes","initial_phoneme","vowel_phonemes","final_phoneme","phoneme_pattern","skill_tag","error_focus","metadata","item_text_type","phoneme_count","syllable_estimate","has_cmudict_match","cmudict_missing_words","skill_group","target_position","target_phoneme","target_grapheme","word_family","rime_unit","onset_unit","enrichment_warnings","needs_manual_review","difficulty_score","difficulty_level","difficulty_factors","adaptive_bucket","recommended_for_error_type","remediation_priority","practice_role","mastery_candidate","review_candidate","min_required_attempts","cooldown_group","enrichment_status","word_count","sentence_length_bucket"
"CQ-001","comprehension_questions.csv","assessment","","multiple_choice","","Where did the stone stand?","church","church|near the church|by the church","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""church|near the church|by the church"", ""choice_a"": ""church"", ""choice_b"": ""castle"", ""choice_c"": ""market"", ""choice_d"": ""river"", ""correct_answer"": ""church"", ""difficulty"": ""easy"", ""id"": ""CQ-001"", ""is_active"": 1, ""passage_id"": ""PASS-001"", ""points"": 1, ""question_text"": ""Where did the stone stand?"", ""question_type"": ""multiple_choice"", ""sequence"": 1}","comprehension_question","0","1","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.213","easy","{'word_count': 0.06666666666666667, 'average_word_length': 0.75, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-002","comprehension_questions.csv","assessment","","multiple_choice","","Who tried to pull the sword first?","knights","knights|strong knights|the knights","easy","1.0","True","","","","","","","","sequencing","{""accepted_answers"": ""knights|strong knights|the knights"", ""choice_a"": ""farmers"", ""choice_b"": ""knights"", ""choice_c"": ""children"", ""choice_d"": ""sailors"", ""correct_answer"": ""knights"", ""difficulty"": ""easy"", ""id"": ""CQ-002"", ""is_active"": 1, ""passage_id"": ""PASS-001"", ""points"": 1, ""question_text"": ""Who tried to pull the sword first?"", ""question_type"": ""multiple_choice"", ""sequence"": 2}","comprehension_question","0","1","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.238","easy","{'word_count': 0.06666666666666667, 'average_word_length': 0.875, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","sequencing_easy","incorrect_general","medium","assessment","False","False","1","sequencing:general","needs_review","",""
"CQ-003","comprehension_questions.csv","assessment","","multiple_choice","","Why did Arthur pull the sword?","help his brother","help his brother|to help his brother|help brother","easy","1.0","True","","","","","","","","comprehension_inference","{""accepted_answers"": ""help his brother|to help his brother|help brother"", ""choice_a"": ""help his brother"", ""choice_b"": ""win a race"", ""choice_c"": ""find a dog"", ""choice_d"": ""carry water"", ""correct_answer"": ""help his brother"", ""difficulty"": ""easy"", ""id"": ""CQ-003"", ""is_active"": 1, ""passage_id"": ""PASS-001"", ""points"": 1, ""question_text"": ""Why did Arthur pull the sword?"", ""question_type"": ""multiple_choice"", ""sequence"": 3}","comprehension_question","0","4","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.207","easy","{'word_count': 0.2, 'average_word_length': 0.5833333333333334, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_inference_easy","comprehension_inference_error","medium","assessment","False","False","1","comprehension_inference:general","needs_review","",""
"CQ-004","comprehension_questions.csv","assessment","","multiple_choice","","What happened when Arthur pulled once?","the sword came out","the sword came out|sword came out|it came out","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""the sword came out|sword came out|it came out"", ""choice_a"": ""the sword came out"", ""choice_b"": ""the stone cracked"", ""choice_c"": ""the bell rang"", ""choice_d"": ""the knights left"", ""correct_answer"": ""the sword came out"", ""difficulty"": ""easy"", ""id"": ""CQ-004"", ""is_active"": 1, ""passage_id"": ""PASS-001"", ""points"": 1, ""question_text"": ""What happened when Arthur pulled once?"", ""question_type"": ""multiple_choice"", ""sequence"": 4}","comprehension_question","0","5","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.197","very_easy","{'word_count': 0.26666666666666666, 'average_word_length': 0.46875, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_very_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-005","comprehension_questions.csv","assessment","","multiple_choice","","What is the main event in the passage?","Arthur pulls the sword","Arthur pulls the sword|Arthur pulls the sword from the stone","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""Arthur pulls the sword|Arthur pulls the sword from the stone"", ""choice_a"": ""Arthur pulls the sword"", ""choice_b"": ""Arthur rides a horse"", ""choice_c"": ""Arthur bakes bread"", ""choice_d"": ""Arthur paints a sign"", ""correct_answer"": ""Arthur pulls the sword"", ""difficulty"": ""easy"", ""id"": ""CQ-005"", ""is_active"": 1, ""passage_id"": ""PASS-001"", ""points"": 1, ""question_text"": ""What is the main event in the passage?"", ""question_type"": ""multiple_choice"", ""sequence"": 5}","comprehension_question","0","5","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.222","easy","{'word_count': 0.26666666666666666, 'average_word_length': 0.59375, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-006","comprehension_questions.csv","assessment","","multiple_choice","","Where did Merlin meet Arthur?","old oak tree","old oak tree|beside an old oak tree|oak tree","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""old oak tree|beside an old oak tree|oak tree"", ""choice_a"": ""old oak tree"", ""choice_b"": ""river bridge"", ""choice_c"": ""busy market"", ""choice_d"": ""castle hall"", ""correct_answer"": ""old oak tree"", ""difficulty"": ""easy"", ""id"": ""CQ-006"", ""is_active"": 1, ""passage_id"": ""PASS-002"", ""points"": 1, ""question_text"": ""Where did Merlin meet Arthur?"", ""question_type"": ""multiple_choice"", ""sequence"": 1}","comprehension_question","0","3","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.173","very_easy","{'word_count': 0.2, 'average_word_length': 0.4166666666666667, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_very_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-007","comprehension_questions.csv","assessment","","multiple_choice","","What did Arthur worry about?","knowing every answer","knowing every answer|kings knowing every answer|every answer","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""knowing every answer|kings knowing every answer|every answer"", ""choice_a"": ""knowing every answer"", ""choice_b"": ""losing his shoes"", ""choice_c"": ""feeding the bees"", ""choice_d"": ""climbing a tree"", ""correct_answer"": ""knowing every answer"", ""difficulty"": ""easy"", ""id"": ""CQ-007"", ""is_active"": 1, ""passage_id"": ""PASS-002"", ""points"": 1, ""question_text"": ""What did Arthur worry about?"", ""question_type"": ""multiple_choice"", ""sequence"": 2}","comprehension_question","0","7","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.24","easy","{'word_count': 0.2, 'average_word_length': 0.75, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-008","comprehension_questions.csv","assessment","","multiple_choice","","What did Merlin say a wise ruler does?","listens","listens|a wise ruler listens|listen","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""listens|a wise ruler listens|listen"", ""choice_a"": ""listens"", ""choice_b"": ""runs"", ""choice_c"": ""hides"", ""choice_d"": ""shouts"", ""correct_answer"": ""listens"", ""difficulty"": ""easy"", ""id"": ""CQ-008"", ""is_active"": 1, ""passage_id"": ""PASS-002"", ""points"": 1, ""question_text"": ""What did Merlin say a wise ruler does?"", ""question_type"": ""multiple_choice"", ""sequence"": 3}","comprehension_question","0","2","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.238","easy","{'word_count': 0.06666666666666667, 'average_word_length': 0.875, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-009","comprehension_questions.csv","assessment","","multiple_choice","","What did Arthur do when friends argued?","asked each person to speak","asked each person to speak|let each person speak|asked them to speak","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""asked each person to speak|let each person speak|asked them to speak"", ""choice_a"": ""asked each person to speak"", ""choice_b"": ""closed the door"", ""choice_c"": ""counted flowers"", ""choice_d"": ""walked away"", ""correct_answer"": ""asked each person to speak"", ""difficulty"": ""easy"", ""id"": ""CQ-009"", ""is_active"": 1, ""passage_id"": ""PASS-002"", ""points"": 1, ""question_text"": ""What did Arthur do when friends argued?"", ""question_type"": ""multiple_choice"", ""sequence"": 4}","comprehension_question","0","7","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.227","easy","{'word_count': 0.3333333333333333, 'average_word_length': 0.55, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
"CQ-010","comprehension_questions.csv","assessment","","multiple_choice","","Which lesson best matches the passage?","listen before choosing","listen before choosing|listen first|listen before making a choice","easy","1.0","True","","","","","","","","comprehension_detail","{""accepted_answers"": ""listen before choosing|listen first|listen before making a choice"", ""choice_a"": ""listen before choosing"", ""choice_b"": ""always hurry"", ""choice_c"": ""never ask questions"", ""choice_d"": ""keep every answer secret"", ""correct_answer"": ""listen before choosing"", ""difficulty"": ""easy"", ""id"": ""CQ-010"", ""is_active"": 1, ""passage_id"": ""PASS-002"", ""points"": 1, ""question_text"": ""Which lesson best matches the passage?"", ""question_type"": ""multiple_choice"", ""sequence"": 5}","comprehension_question","0","7","False","","comprehension","","","","","","","minimal_phoneme_enrichment","True","0.257","easy","{'word_count': 0.2, 'average_word_length': 0.8333333333333334, 'punctuation': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","comprehension_detail_easy","comprehension_detail_error","medium","assessment","False","False","1","comprehension_detail:general","needs_review","",""
