prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket,fluency_metric_rule,target_read_time_seconds,min_fluent_time_seconds,max_fluent_time_seconds,target_wcpm,min_expected_wcpm,max_expected_wcpm,pace_feedback_rule,pace_mastery_required
M3-RS001,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"I see a cat.","I see a cat.","I see a cat.|I see a cat",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS001"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":1,""display_text"":""I see a cat."",""expected_answer"":""I see a cat."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""I see a cat."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""i see a cat."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:f8dc1043,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS002,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"The dog can run.","The dog can run.","The dog can run.|The dog can run",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS002"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":2,""display_text"":""The dog can run."",""expected_answer"":""The dog can run."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""The dog can run."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""the dog can run."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:097311ab,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS003,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"We play in the shade.","We play in the shade.","We play in the shade.|We play in the shade",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS003"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":3,""display_text"":""We play in the shade."",""expected_answer"":""We play in the shade."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""We play in the shade."",""word_count"":5,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2.5"",""min_fluent_time_seconds"":""1.5"",""max_fluent_time_seconds"":""3.7"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""we play in the shade."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""81.1"",""max_expected_wcpm"":""200""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 5, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:8c3d79cf,ok,5,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2.5,1.5,3.7,120.0,81.1,200,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS004,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"My red hat fits.","My red hat fits.","My red hat fits.|My red hat fits",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS004"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":4,""display_text"":""My red hat fits."",""expected_answer"":""My red hat fits."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""My red hat fits."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""my red hat fits."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:94758efe,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS005,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"I have a full cup.","I have a full cup.","I have a full cup.|I have a full cup",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS005"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":5,""display_text"":""I have a full cup."",""expected_answer"":""I have a full cup."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""I have a full cup."",""word_count"":5,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2.5"",""min_fluent_time_seconds"":""1.5"",""max_fluent_time_seconds"":""3.7"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""i have a full cup."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""81.1"",""max_expected_wcpm"":""200""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 5, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:9e9d8ab2,ok,5,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2.5,1.5,3.7,120.0,81.1,200,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS006,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"A bug lands on a leaf.","A bug lands on a leaf.","A bug lands on a leaf.|A bug lands on a leaf",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS006"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":6,""display_text"":""A bug lands on a leaf."",""expected_answer"":""A bug lands on a leaf."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""A bug lands on a leaf."",""word_count"":6,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""3"",""min_fluent_time_seconds"":""2"",""max_fluent_time_seconds"":""4.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""a bug lands on a leaf."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""85.7"",""max_expected_wcpm"":""180""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 6, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:4ef21d23,ok,6,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",3,2,4.2,120.0,85.7,180,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS007,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"A pup hops home.","A pup hops home.","A pup hops home.|A pup hops home",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS007"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":7,""display_text"":""A pup hops home."",""expected_answer"":""A pup hops home."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""A pup hops home."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""a pup hops home."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:6b6b26a1,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS008,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"The bed feels soft.","The bed feels soft.","The bed feels soft.|The bed feels soft",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS008"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":8,""display_text"":""The bed feels soft."",""expected_answer"":""The bed feels soft."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""The bed feels soft."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""the bed feels soft."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:cacb514e,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS009,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"The fish can swim.","The fish can swim.","The fish can swim.|The fish can swim",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS009"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":9,""display_text"":""The fish can swim."",""expected_answer"":""The fish can swim."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""The fish can swim."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""the fish can swim."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:f5447f4c,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
M3-RS010,module3_sentence_fluency_activities_adaptive_v2.csv,modules,module_3,module3_sentence_fluency_activities,simple_sentence_reading,"The bird can sing.","The bird can sing.","The bird can sing.|The bird can sing",easy,1.0,True,False,,,,,,easy_sentence_fluency,sentence_tracking,"{""id"":""M3-RS010"",""module_key"":""module_3"",""activity_type"":""simple_sentence_reading"",""sequence"":10,""display_text"":""The bird can sing."",""expected_answer"":""The bird can sing."",""lesson_step"":""simple_sentence_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""sentence_tracking_very_easy"",""error_focus"":""sentence_tracking"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""completion_or_final_practice"",""fallback_if_word_accuracy_fails"":""module_2"",""fallback_if_letter_sound_fails"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""target_sentence"":""The bird can sing."",""word_count"":4,""fast_paced"":true,""fluency_goal"":""clear_complete_sentence"",""fluency_metric_rule"":""WCPM only: correct_words_per_minute"",""wcpm_formula"":""max(total_words_read - errors, 0) / (duration_seconds / 60)"",""duration_seconds_from_asr"":""recording_end_time - speech_start_time or accepted audio duration after silence trim"",""target_read_time_seconds"":""2"",""min_fluent_time_seconds"":""1"",""max_fluent_time_seconds"":""3.2"",""target_wcpm"":""120.0"",""pace_feedback_rule"":""too_fast / fluent / too_slow; do not convert this into a separate fluency score"",""agent_ciel_feedback"":{""too_fast"":""Slow down a little so each word is clear."",""fluent"":""Great pace. You read it clearly and smoothly."",""too_slow"":""Try reading it a little smoother without long pauses.""},""mastery_decision_rule"":{""pass_accuracy"":""word_errors <= allowed_errors_for_item"",""pass_fluency"":""duration_seconds between min_fluent_time_seconds and max_fluent_time_seconds"",""fluency_metric"":""wcpm""},""canonical_target"":""the bird can sing."",""display_format"":""simple_sentence"",""punctuation_focus"":""none"",""accepted_answer_shape"":""full_sentence"",""pace_mastery_required"":false,""min_expected_wcpm"":""75"",""max_expected_wcpm"":""240""}",simple_sentence,,,False,,sentence_reading,,,,,,,,False,0.18,very_easy,"{'word_count': 4, 'pacing': 'sentence_tracking', 'source_difficulty': 0.25}",sentence_tracking_very_easy,skipped_word,medium,practice,True,True,1,sentence:6a25827f,ok,4,short,"WCPM = max(total_words_read - errors, 0) / (duration_seconds / 60)",2,1,3.2,120.0,75,240,"too_fast if duration < min_fluent_time_seconds; fluent if within range; too_slow if duration > max_fluent_time_seconds",False
